"","X.1.1.","X.1.2.","X.1.3.","X.2.1.","X.2.2.","X.2.3.","X.3.1.","X.3.2.","X.3.3.","X..1.1..","X..1.2..","X..1.3..","X..2.1..","X..2.2..","X..2.3..","X..3.1..","X..3.2..","X..3.3..","X.rsmax2.","X376","X.pc.stable.","X.mi.","X0.01","X.hc.","X.bic."
"X.1.1.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"rsmax2",376,"pc.stable","mi",0.01,"hc","bic"
"X.1.2.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"rsmax2",376,"pc.stable","mi",0.01,"hc","bic"
"X.1.3.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"rsmax2",376,"pc.stable","mi",0.01,"hc","bic"
"X.2.1.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"rsmax2",376,"pc.stable","mi",0.01,"hc","bic"
"X.2.2.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"rsmax2",376,"pc.stable","mi",0.01,"hc","bic"
"X.2.3.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"rsmax2",376,"pc.stable","mi",0.01,"hc","bic"
"X.3.1.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"rsmax2",376,"pc.stable","mi",0.01,"hc","bic"
"X.3.2.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"rsmax2",376,"pc.stable","mi",0.01,"hc","bic"
"X.3.3.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"rsmax2",376,"pc.stable","mi",0.01,"hc","bic"
"X..1.1..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rsmax2",376,"pc.stable","mi",0.01,"hc","bic"
"X..1.2..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rsmax2",376,"pc.stable","mi",0.01,"hc","bic"
"X..1.3..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rsmax2",376,"pc.stable","mi",0.01,"hc","bic"
"X..2.1..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rsmax2",376,"pc.stable","mi",0.01,"hc","bic"
"X..2.2..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rsmax2",376,"pc.stable","mi",0.01,"hc","bic"
"X..2.3..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rsmax2",376,"pc.stable","mi",0.01,"hc","bic"
"X..3.1..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rsmax2",376,"pc.stable","mi",0.01,"hc","bic"
"X..3.2..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rsmax2",376,"pc.stable","mi",0.01,"hc","bic"
"X..3.3..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rsmax2",376,"pc.stable","mi",0.01,"hc","bic"
