"","X.1.1.","X.1.2.","X.2.1.","X.2.2.","X.3.1.","X.3.2.","X.4.1.","X.4.2.","X..1.1..","X..1.2..","X..2.1..","X..2.2..","X..3.1..","X..3.2..","X..4.1..","X..4.2..","X.rsmax2.","X518","X.iamb.fdr.","X.x2.","X0.01","X.hc.","X.bic."
"X.1.1.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"rsmax2",518,"iamb.fdr","x2",0.01,"hc","bic"
"X.1.2.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"rsmax2",518,"iamb.fdr","x2",0.01,"hc","bic"
"X.2.1.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"rsmax2",518,"iamb.fdr","x2",0.01,"hc","bic"
"X.2.2.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"rsmax2",518,"iamb.fdr","x2",0.01,"hc","bic"
"X.3.1.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rsmax2",518,"iamb.fdr","x2",0.01,"hc","bic"
"X.3.2.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rsmax2",518,"iamb.fdr","x2",0.01,"hc","bic"
"X.4.1.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rsmax2",518,"iamb.fdr","x2",0.01,"hc","bic"
"X.4.2.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rsmax2",518,"iamb.fdr","x2",0.01,"hc","bic"
"X..1.1..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rsmax2",518,"iamb.fdr","x2",0.01,"hc","bic"
"X..1.2..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rsmax2",518,"iamb.fdr","x2",0.01,"hc","bic"
"X..2.1..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rsmax2",518,"iamb.fdr","x2",0.01,"hc","bic"
"X..2.2..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rsmax2",518,"iamb.fdr","x2",0.01,"hc","bic"
"X..3.1..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rsmax2",518,"iamb.fdr","x2",0.01,"hc","bic"
"X..3.2..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rsmax2",518,"iamb.fdr","x2",0.01,"hc","bic"
"X..4.1..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rsmax2",518,"iamb.fdr","x2",0.01,"hc","bic"
"X..4.2..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rsmax2",518,"iamb.fdr","x2",0.01,"hc","bic"
