"","X.1.1.","X.1.2.","X.1.3.","X.1.4.","X.2.1.","X.2.2.","X.2.3.","X.2.4.","X.3.1.","X.3.2.","X.3.3.","X.3.4.","X.4.1.","X.4.2.","X.4.3.","X.4.4.","X..1.1..","X..1.2..","X..1.3..","X..1.4..","X..2.1..","X..2.2..","X..2.3..","X..2.4..","X..3.1..","X..3.2..","X..3.3..","X..3.4..","X..4.1..","X..4.2..","X..4.3..","X..4.4..","X.rsmax2.","X1630","X.pc.stable.","X.x2.","X0.1","X.hc.","X.bic."
"X.1.1.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rsmax2",1630,"pc.stable","x2",0.1,"hc","bic"
"X.1.2.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rsmax2",1630,"pc.stable","x2",0.1,"hc","bic"
"X.1.3.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"rsmax2",1630,"pc.stable","x2",0.1,"hc","bic"
"X.1.4.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"rsmax2",1630,"pc.stable","x2",0.1,"hc","bic"
"X.2.1.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"rsmax2",1630,"pc.stable","x2",0.1,"hc","bic"
"X.2.2.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"rsmax2",1630,"pc.stable","x2",0.1,"hc","bic"
"X.2.3.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"rsmax2",1630,"pc.stable","x2",0.1,"hc","bic"
"X.2.4.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"rsmax2",1630,"pc.stable","x2",0.1,"hc","bic"
"X.3.1.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rsmax2",1630,"pc.stable","x2",0.1,"hc","bic"
"X.3.2.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rsmax2",1630,"pc.stable","x2",0.1,"hc","bic"
"X.3.3.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rsmax2",1630,"pc.stable","x2",0.1,"hc","bic"
"X.3.4.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"rsmax2",1630,"pc.stable","x2",0.1,"hc","bic"
"X.4.1.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"rsmax2",1630,"pc.stable","x2",0.1,"hc","bic"
"X.4.2.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"rsmax2",1630,"pc.stable","x2",0.1,"hc","bic"
"X.4.3.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"rsmax2",1630,"pc.stable","x2",0.1,"hc","bic"
"X.4.4.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"rsmax2",1630,"pc.stable","x2",0.1,"hc","bic"
"X..1.1..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rsmax2",1630,"pc.stable","x2",0.1,"hc","bic"
"X..1.2..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rsmax2",1630,"pc.stable","x2",0.1,"hc","bic"
"X..1.3..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rsmax2",1630,"pc.stable","x2",0.1,"hc","bic"
"X..1.4..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rsmax2",1630,"pc.stable","x2",0.1,"hc","bic"
"X..2.1..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"rsmax2",1630,"pc.stable","x2",0.1,"hc","bic"
"X..2.2..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"rsmax2",1630,"pc.stable","x2",0.1,"hc","bic"
"X..2.3..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"rsmax2",1630,"pc.stable","x2",0.1,"hc","bic"
"X..2.4..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"rsmax2",1630,"pc.stable","x2",0.1,"hc","bic"
"X..3.1..",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rsmax2",1630,"pc.stable","x2",0.1,"hc","bic"
"X..3.2..",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rsmax2",1630,"pc.stable","x2",0.1,"hc","bic"
"X..3.3..",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rsmax2",1630,"pc.stable","x2",0.1,"hc","bic"
"X..3.4..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rsmax2",1630,"pc.stable","x2",0.1,"hc","bic"
"X..4.1..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rsmax2",1630,"pc.stable","x2",0.1,"hc","bic"
"X..4.2..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rsmax2",1630,"pc.stable","x2",0.1,"hc","bic"
"X..4.3..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rsmax2",1630,"pc.stable","x2",0.1,"hc","bic"
"X..4.4..",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rsmax2",1630,"pc.stable","x2",0.1,"hc","bic"
